,diam,diel,frac
0,255.0,10.0,0.14767888126204948
1,168.0,10.0,0.2254025699371411
2,111.0,10.0,0.2936842133557539
3,255.0,15.0,0.12597278456220723
4,168.0,15.0,0.18638708616094202
5,111.0,15.0,0.246911073420849
6,255.0,22.5,0.0935828135102241
7,168.0,22.5,0.1344978297409076
8,111.0,22.5,0.14722096197470874
9,255.0,10.0,0.1467750746775861
10,168.0,10.0,0.21973140944792532
11,111.0,10.0,0.28988714372773355
12,255.0,15.0,0.12327952405209075
13,168.0,15.0,0.19063708490013892
14,111.0,15.0,0.23336677818816398
15,255.0,22.5,0.09205585624392629
16,168.0,22.5,0.13219337154821809
17,111.0,22.5,0.13158415865449663
18,255.0,10.0,0.15413761675024007
19,168.0,10.0,0.22788167699582143
20,111.0,10.0,0.29637927788482665
21,255.0,15.0,0.1195637603497458
22,168.0,15.0,0.1863736392193107
23,111.0,15.0,0.25584702689440014
24,255.0,22.5,0.09065962163515626
25,168.0,22.5,0.13396378076172782
26,111.0,22.5,0.1352888671591399
