,diam,diel,frac
0,255.0,10.0,0.12383349667686794
1,168.0,10.0,0.1900156507226961
2,111.0,10.0,0.24700764721007093
3,255.0,15.0,0.10667183088432294
4,168.0,15.0,0.16360117421529882
5,111.0,15.0,0.206280761197668
6,255.0,22.5,0.08174941358518112
7,168.0,22.5,0.1241084495283731
8,111.0,22.5,0.13872966717926377
9,255.0,10.0,0.12667976375119175
10,168.0,10.0,0.19047604621123465
11,111.0,10.0,0.2520204923283161
12,255.0,15.0,0.10536305029320908
13,168.0,15.0,0.161191365641353
14,111.0,15.0,0.20288979235814555
15,255.0,22.5,0.08175259082057834
16,168.0,22.5,0.12569308567260157
17,111.0,22.5,0.13772949658263506
18,255.0,10.0,0.12606613790558371
19,168.0,10.0,0.1921143137315879
20,111.0,10.0,0.28083358305337636
21,255.0,15.0,0.10450040708318128
22,168.0,15.0,0.16185649116575493
23,111.0,15.0,0.2026543972640968
24,255.0,22.5,0.08087990704728704
25,168.0,22.5,0.12643620328528593
26,111.0,22.5,0.12792356527283544
